Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
0,Kevin Lee,Charles Oliveira,-145,135,Blue,Anthony Smith,Devin Clark,-139,115,Red,71.94244604,115
1,Demian Maia,Gilbert Burns,160,-170,Blue,Miguel Baeza,Takashi Sato,-175,140,Red,57.14285714,140
2,Renato Moicano,Damir Hadzovic,-345,315,Red,Josh Parisian,Parker Porter,-200,160,Blue,50,160
3,Johnny Walker,Nikita Krylov,-137,127,Blue,Spike Carlyle,Bill Algeo,-177,140,Blue,56.49717514,140
4,Francisco Trinaldo,John Makdessi,-160,150,Red,Ashlee Evans-Smith,Norma Dumont,-137,110,Blue,72.99270073,110
5,Jussier Formiga,Brandon Moreno,-150,140,Blue,Jonathan Pearce,Kai Kamaka,245,-335,Red,245,29.85074627
6,Amanda Ribas,Randa Markos,-345,315,Red,Martin Day,Anderson Dos Santos,-167,135,Blue,59.88023952,135
7,Elizeu Dos Santos,Aleksei Kunchenko,-122,112,Red,Gina Mazany,Rachael Ostovich,-200,160,Red,50,160
8,Rani Yahya,Enrique Barzola,170,-185,Draw,Su Mudaerji,Malcolm Gordon,-335,250,Red,29.85074627,250
9,Mayra Bueno Silva,Maryna Moroz,-140,130,Blue,Luke Sanders,Nate Maness,-155,125,Blue,64.51612903,125
10,Bruno Silva,David Dvorak,-110,100,Blue,Deiveson Figueiredo,Alex Perez,-286,225,Red,34.96503497,225
11,Veronica Macedo,Bea Malecki,-155,145,Blue,Valentina Shevchenko,Jennifer Maia,-1667,850,Red,5.99880024,850
12,Israel Adesanya,Yoel Romero,-260,240,Red,Mike Perry,Tim Means,-150,120,Blue,66.66666667,120
13,Weili Zhang,Joanna Jedrzejczyk,-185,170,Red,Katlyn Chookagian,Cynthia Calvillo,205,-265,Red,205,37.73584906
14,Beneil Dariush,Drakkar Klose,-162,152,Red,Mauricio Rua,Paul Craig,150,-190,Blue,150,52.63157895
15,Neil Magny,Li Jingliang,157,-167,Red,Brandon Moreno,Brandon Royval,-190,150,Red,52.63157895,150
16,Alex Oliveira,Max Griffin,-125,115,Red,Joaquin Buckley,Jordan Wright,-265,205,Red,37.73584906,205
17,Sean O'Malley,Jose Quinonez,-330,300,Red,Antonina Shevchenko,Ariane Lipski,-167,130,Red,59.88023952,130
18,Mark Madsen,Austin Hubbard,-215,195,Red,Daniel Rodriguez,Nicolas Dalby,-335,250,Blue,29.85074627,250
19,Rodolfo Vieira,Saparbeg Safarov,-570,480,Red,Alan Jouban,Jared Gooden,-150,120,Red,66.66666667,120
20,Gerald Meerschaert,Deron Winn,125,-135,Red,Kyle Daukaus,Dustin Stoltzfus,-315,230,Red,31.74603175,230
21,Jamall Emmers,Giga Chikadze,-170,160,Blue,Louis Cosce,Sasha Palatnikov,-455,325,Blue,21.97802198,325
22,Danaa Batgerel,Guido Cannetti,-120,110,Red,Paul Felder,Rafael Dos Anjos,165,-200,Blue,165,50
23,Joseph Benavidez,Deiveson Figueiredo,-150,130,Blue,Abdul Razak Alhassan,Khaos Williams,-240,185,Blue,41.66666667,185
24,Felicia Spencer,Zarah Fairn,-870,585,Red,Kay Hansen,Cory McKenna,-230,180,Blue,43.47826087,180
25,Ion Cutelaba,Magomed Ankalaev,185,-225,Blue,Brendan Allen,Sean Strickland,-118,-106,Blue,84.74576271,94.33962264
26,Megan Anderson,Norma Dumont,-245,205,Red,Ashley Yoder,Miranda Granger,135,-167,Red,135,59.88023952
27,Grant Dawson,Darrick Minner,-475,380,Red,Alex Morono,Rhys McKee,-177,140,Red,56.49717514,140
28,Gabriel Silva,Kyler Phillips,-130,110,Blue,Randa Markos,Kanako Murata,155,-200,Blue,155,50
29,Brendan Allen,Tom Breese,110,-130,Red,Geraldo de Freitas,Tony Gravely,117,-148,Blue,117,67.56756757
30,Luis Pena,Steve Garcia,-270,230,Red,Don'Tale Mayes,Roque Martinez,-265,205,Red,37.73584906,205
31,Marcin Tybura,Serghei Spivac,100,-120,Red,Thiago Santos,Glover Teixeira,-240,190,Blue,41.66666667,190
32,Jordan Griffin,TJ Brown,-135,115,Red,Andrei Arlovski,Tanner Boser,235,-305,Red,235,32.78688525
33,Aalon Cruz,Spike Carlyle,-190,165,Blue,Raoni Barcelos,Khalid Taha,-400,295,Red,25,295
34,Sean Brady,Ismail Naurdiev,105,-125,Red,Claudia Gadelha,Yan Xiaonan,125,-155,Blue,125,64.51612903
35,Paul Felder,Dan Hooker,130,-150,Blue,Trevin Giles,Bevon Lewis,100,-125,Red,100,80
36,Jim Crute,Michal Oleksiejczuk,100,-120,Red,Giga Chikadze,Jamey Simmons,-835,525,Red,11.9760479,525
37,Karolina Kowalkiewicz,Yan Xiaonan,225,-265,Blue,Alexandr Romanov,Marcos Rogerio de Lima,-455,330,Red,21.97802198,330
38,Ben Sosoli,Marcos Rogerio De Lima,130,-150,Blue,Darren Elkins,Eduardo Garagorri,-240,185,Red,41.66666667,185
39,Brad Riddell,Magomed Mustafaev,120,-140,Red,Max Griffin,Ramiz Brahimaj,-143,115,Red,69.93006993,115
40,Kevin Aguilar,Zubaira Tukhugov,-115,-105,Blue,Gustavo Lopez,Anthony Birchak,-134,108,Red,74.62686567,108
41,Jalin Turner,Joshua Culibao,-210,175,Red,Uriah Hall,Anderson Silva,-230,185,Red,43.47826087,185
42,Jake Matthews,Emil Meek,-200,170,Red,Bryce Mitchell,Andre Fili,-150,120,Red,66.66666667,120
43,Callan Potter,Song Kenan,170,-200,Blue,Maurice Greene,Greg Hardy,250,-335,Blue,250,29.85074627
44,Kai Kara France,Tyson Nam,-260,220,Red,Kevin Holland,Charlie Ontiveros,-770,500,Red,13.98601399,475
45,Loma Lookboonmee,Angela Hill,155,-175,Blue,Bobby Green,Thiago Moises,-335,245,Blue,29.85074627,245
46,Priscila Cachoeira,Shana Dobson,180,-220,Red,Chris Gruetzemacher,Alexander Hernandez,315,-435,Blue,315,22.98850575
47,Francis Ngannou,Junior Dos Santos,-220,180,Red,Adrian Yanez,Victor Rodriguez,-500,356,Red,20,356
48,Jussier Formiga,Joseph Benavidez,105,-125,Blue,Sean Strickland,Jack Marshman,-375,277,Red,26.66666667,277
49,Demian Maia,Rocco Martin,-190,165,Red,Cole Williams,Jason Witt,119,-148,Blue,119,67.56756757
50,Roosevelt Roberts,Vinc Pichel,-245,205,Blue,Dustin Jacoby,Justin Ledet,-400,296,Red,25,296
51,Drew Dober,Marco Polo Reyes,-430,345,Red,Miles Johns,Kevin Natividad,-165,131,Red,60.60606061,131
52,Alonzo Menifield,Paul Craig,-350,290,Red,Khabib Nurmagomedov,Justin Gaethje,-315,255,Red,31.74603175,255
53,Ricardo Ramos,Journey Newson,-380,315,Red,Robert Whittaker,Jared Cannonier,-110,-110,Red,90.90909091,90.90909091
54,Eryk Anders,Vinicius Moreira,-300,250,Red,Alexander Volkov,Walt Harris,-190,150,Red,52.63157895,150
55,Jared Gordon,Dan Moret,-350,290,Red,Jacob Malkoun,Phillip Hawes,195,-250,Blue,195,40
56,Dalcha Lungiambula,Dequan Townsend,-420,335,Red,Lauren Murphy,Liliya Shakirova,-215,170,Red,46.51162791,170
57,Emily Whitmire,Amanda Ribas,-175,155,Blue,Magomed Ankalaev,Ion Cutelaba,-335,250,Red,29.85074627,250
58,Maurice Greene,Junior Albini,-125,105,Red,Stefan Struve,Tai Tuivasa,-112,-112,Blue,89.28571429,89.28571429
59,Renato Moicano,Chan Sung Jung,-220,180,Blue,Nathaniel Wood,Casey Kenney,140,-177,Blue,140,56.49717514
60,Bryan Barberena,Randy Brown,-235,195,Blue,Alex Oliveira,Shavkat Rakhmonov,-112,-112,Blue,89.28571429,89.28571429
61,Andre Ewell,Anderson Dos Santos,-140,120,Red,Liana Jojua,Miranda Maverick,295,-400,Blue,295,25
62,Andrea Lee,Montana De La Rosa,-185,160,Red,Joel Alvarez,Alexander Yakovlev,-175,138,Red,57.14285714,138
63,Kevin Holland,Alessio Di Chirico,-230,190,Red,Brian Ortega,Chan Sung Jung,160,-200,Red,160,50
64,Dan Ige,Kevin Aguilar,120,-140,Red,Katlyn Chookagian,Jessica Andrade,130,-159,Blue,130,62.89308176
65,Ashley Yoder,Syuri Kondo,-140,120,Red,Jimmy Crute,Modestas Bukauskas,-335,250,Red,29.85074627,250
66,Matt Wiman,Luis Pena,315,-380,Blue,Claudio Silva,James Krause,120,-150,Blue,120,66.66666667
67,Allen Crowder,Jairzinho Rozenstruik,190,-230,Blue,Thomas Almeida,Jonathan Martinez,-139,110,Blue,71.94244604,110
68,Ariane Lipski,Molly McCann,-255,215,Blue,Mateusz Gamrot,Guram Kutateladze,-335,245,Blue,29.85074627,245
69,Deron Winn,Eric Spicely,-360,300,Red,Gillian Robertson,Poliana Botelho,-215,169,Red,46.51162791,169
70,Jon Jones,Thiago Santos,-670,485,Red,Junyong Park,John Phillips,-278,215,Red,35.97122302,215
71,Amanda Nunes,Holly Holm,-360,300,Red,Jamie Mullarkey,Fares Ziam,-137,110,Blue,72.99270073,110
72,Jorge Masvidal,Ben Askren,180,-220,Red,Gadzhimurad Antigulov,Maxim Grishin,277,-375,Blue,277,26.66666667
73,Jan Blachowicz,Luke Rockhold,220,-260,Red,Said Nurmagomedov,Mark Striegl,-435,317,Red,22.98850575,317
74,Diego Sanchez,Michael Chiesa,315,-380,Blue,Marlon Moraes,Cory Sandhagen,115,-141,Blue,115,70.92198582
75,Gilbert Melendez,Arnold Allen,260,-320,Blue,Edson Barboza,Makwan Amirkhani,-286,225,Red,34.96503497,225
76,Marlon Vera,Nohelin Hernandez,-470,375,Red,Ben Rothwell,Marcin Tybura,-159,130,Blue,62.89308176,130
77,Caludia Gadelha,Randa Markos,-200,170,Red,Markus Perez,Dricus Du Plessis,133,-167,Blue,133,59.88023952
78,Alejandro Perez,Song Yadong,185,-225,Blue,Tom Aspinall,Alan Baudot,-560,400,Red,17.85714286,400
79,Edmen Shahbazyan,Jack Marshman,-570,480,Red,Youssef Zalal,Ilia Topuria,-162,130,Blue,61.72839506,130
80,Ismail Naurdiev,Chance Rencountre,-570,435,Blue,Tom Breese,KB Bhullar,-275,210,Red,36.36363636,210
81,Julia Avila,Pannie Kianzad,-250,210,Red,Chris Daukaus,Rodrigo Nascimento,205,-265,Red,205,37.73584906
82,Corey Anderson,Jan Blachowicz,-235,195,Blue,Impa Kasanganay,Joaquin Buckley,-265,200,Blue,37.73584906,200
83,Diego Sanchez,Michel Pereira,135,-155,Red,Ali AlQaisi,Tony Kelley,190,-245,Blue,190,40.81632653
84,Montana De La Rosa,Mara Romero Borella,-175,155,Red,Giga Chikadze,Omar Morales,136,-175,Red,136,57.14285714
85,Brok Weaver,Kazula Vargas,-270,230,Red,Tracy Cortez,Stephanie Egger,-205,160,Red,48.7804878,160
86,Rogerio Bontorin,Ray Borg,130,-150,Blue,Bruno Silva,Tagir Ulanbekov,321,-455,Blue,321,21.97802198
87,Lando Vannata,Yancy Medeiros,-120,100,Red,Holly Holm,Irene Aldana,-125,103,Red,80,103
88,Tim Means,Daniel Rodriguez,-345,285,Blue,Yorgan De Castro,Carlos Felipe,-265,205,Blue,37.73584906,205
89,John Dodson,Nathaniel Wood,130,-150,Red,Germaine de Randamie,Julianna Pena,-150,122,Red,66.66666667,122
90,Jim Miller,Scott Holtzman,115,-135,Blue,Kyler Phillips,Cameron Else,-480,342,Red,20.83333333,342
91,Devin Clark,Dequan Townsend,-400,325,Red,Dequan Townsend,Dusko Todorovic,245,-335,Blue,245,29.85074627
92,Casey Kenney,Merab Dvalishvili,150,-170,Blue,Carlos Condit,Court McGee,111,-137,Red,111,72.99270073
93,Macy Chiasson,Shanna Young,-800,550,Red,Jordan Williams,Nassourdine Imavov,-125,105,Blue,80,105
94,Mark De La Rosa,Raulian Paiva,205,-245,Blue,Loma Lookboonmee,Jinh Yu Frey,-150,120,Red,66.66666667,120
95,Germaine De Randamie,Aspen Ladd,100,-120,Red,Casey Kenney,Heili Alateng,-335,246,Red,29.85074627,246
96,Urijah Faber,Ricky Simon,320,-355,Red,Luigi Vendramini,Jessin Ayari,-109,-114,Red,91.74311927,87.71929825
97,Josh Emmett,Mirsad Bektic,150,-170,Red,Israel Adesanya,Paulo Costa,-186,151,Red,53.76344086,151
98,Karl Roberson,Wellington Turman,-220,180,Red,Dominick Reyes,Jan Blachowicz,-265,215,Blue,37.73584906,215
99,Marvin Vettori,Cezar Ferreira,-220,180,Red,Kai Kara-France,Brandon Royval,-240,188,Blue,41.66666667,188
100,Andre Fili,Sheymon Moraes,-160,140,Red,Ketlen Vieira,Sijara Eubanks,-190,150,Red,52.63157895,150
101,Julianna Pena,Nicco Montano,-250,210,Red,Hakeem Dawodu,Zubaira Tukhugov,115,-143,Red,115,69.93006993
102,Darren Elkins,Ryan Hall,-115,-105,Blue,Brad Riddell,Alex Da Silva,-335,253,Red,29.85074627,253
103,Liu Pingyuan,Jonathan Martinez,-220,180,Blue,Diego Sanchez,Jake Matthews,470,-715,Blue,470,13.98601399
104,Livinha Souza,Brianna Van Buren,-115,-105,Blue,Shane Young,Ludovit Klein,108,-129,Blue,108,77.51937984
105,Benito Lopez,Vince Morales,-105,-105,Red,William Knight,Aleksa Camur,134,-167,Red,134,59.88023952
106,Rafael Dos Anjos,Leon Edwards,-110,-110,Blue,Juan Espino,Jeff Hughes,-305,233,Red,32.78688525,233
107,Aleksei Oleinik,Walt Harris,130,-150,Blue,Khadis Ibragimov,Danilo Marques,-182,150,Blue,54.94505495,150
108,Greg Hardy,Juan Adams,-105,-115,Red,Colby Covington,Tyron Woodley,-335,260,Red,29.85074627,260
109,James Vick,Dan Hooker,105,-125,Blue,Khamzat Chimaev,Gerald Meerschaert,-400,300,Red,25,300
110,Alexander Hernandez,Francisco Trinaldo,-250,210,Red,Johnny Walker,Ryan Spann,-125,100,Red,80,100
111,Andrei Arlovski,Ben Rothwell,155,-175,Red,Mackenzie Dern,Randa Markos,-177,140,Red,56.49717514,140
112,Alex Caceres,Steven Peterson,-115,-105,Red,Kevin Holland,Darren Stewart,-265,205,Red,37.73584906,205
113,Raquel Pennington,Irene Aldana,115,-135,Red,Jordan Espinosa,David Dvorak,-112,-112,Blue,89.28571429,89.28571429
114,Sam Alvey,Klidson Abreu,145,-165,Blue,Mirsad Bektic,Damon Jackson,-375,277,Blue,26.66666667,277
115,Roxanne Modafferi,Jennifer Maia,110,-130,Blue,Mayra Bueno Silva,Mara Romero Borella,-275,210,Red,36.36363636,210
116,Ray Borg,Gabriel Silva,-185,160,Red,Jessica-Rose Clark,Sarah Alpar,-230,180,Red,43.47826087,180
117,Mario Bautista,Jin Soo Son,150,-170,Red,Darrick Minner,TJ Laramie,245,-335,Red,245,29.85074627
118,Domingo Pilarte,Felipe Colares,-400,325,Blue,Journey Newson,Randy Costa,-137,110,Blue,72.99270073,110
119,Max Holloway,Frankie Edgar,-335,275,Red,Andre Ewell,Irwin Rivera,-240,187,Red,41.66666667,187
120,Cris Cyborg,Felicia Spencer,-380,315,Red,Tyson Nam,Jerome Rivera,-190,150,Red,52.63157895,150
121,Geoff Neal,Niko Price,-335,275,Red,Michelle Waterson,Angela Hill,105,-125,Red,105,80
122,Olivier Aubin-Mercier,Arman Tsarukyan,145,-165,Blue,Ottman Azaitar,Khama Worthy,110,-137,Red,110,72.99270073
123,Marc-Andre Barriault,Krzystof Jotko,145,-165,Blue,Roxanne Modafferi,Andrea Lee,240,-335,Red,240,29.85074627
124,Alexis Davis,Viviane Araujo,165,-190,Blue,Ed Herman,Mike Rodriguez,195,-250,Red,195,40
125,Hakeem Dawodu,Yoshinori Horie,-440,350,Red,Billy Quarantillo,Kyle Nelson,-250,195,Red,40,195
126,Gavin Tucker,Seungwoo Choi,120,-140,Red,Julia Avila,Sijara Eubanks,-305,230,Blue,32.78688525,230
127,Alexandre Pantoja,Deiveson Figueiredo,-140,120,Blue,Roosevelt Roberts,Kevin Croom,-385,286,Blue,25.97402597,286
128,Gillian Robertson,Sarah Frota,-150,130,Red,Alexandr Romanov,Roque Martinez,-360,275,Red,27.77777778,275
129,Erik Koch,Kyle Stewart,-140,120,Red,Bobby Green,Alan Patrick,-295,227,Red,33.89830508,227
130,Colby Covington,Robbie Lawler,-300,250,Red,Brok Weaver,Jalin Turner,306,-420,Blue,306,23.80952381
131,Jim Miller,Clay Guida,-140,130,Red,Bryan Barberena,Anthony Ivy,-278,215,Red,35.97122302,215
132,Joaquim Silva,Nasrat Haqparast,315,-380,Blue,Sabina Mazo,Justine Kish,-265,200,Red,37.73584906,200
133,Trevin Giles,Gerald Meerschaert,-170,150,Blue,Alistair Overeem,Augusto Sakai,-159,130,Red,62.89308176,130
134,Scott Holtzman,Dong Hyun Ma,-390,320,Red,Ovince Saint Preux,Alonzo Menifield,110,-134,Red,110,74.62686567
135,Darko Stosic,Kennedy Nzechukwu,-120,100,Blue,Michel Pereira,Zelim Imadaev,-112,-112,Red,89.28571429,89.28571429
136,Mickey Gall,Salim Touahri,100,-120,Red,Brian Kelleher,Ray Rodriguez,-380,315,Red,26.31578947,315
137,Antonina Shevchenko,Lucie Pudilova,-160,140,Red,Andre Muniz,Bartosz Fabinski,132,-165,Red,132,60.60606061
138,Jordan Espinosa,Matt Schnell,-155,145,Blue,Viviane Araujo,Montana De La Rosa,-182,145,Red,54.94505495,145
139,Lauren Murphy,Mara Romero Borella,180,-220,Red,Cole Smith,Hunter Azure,185,-235,Blue,185,42.55319149
140,Claudio Silva,Cole Williams,-550,425,Red,Anthony Smith,Aleksandar Rakic,225,-278,Blue,225,35.97122302
141,Miranda Granger,Hannah Goldy,-105,-115,Red,Robbie Lawler,Neil Magny,200,-250,Blue,200,40
142,Jon Jones,Dominick Reyes,-460,365,Red,Ji Yeon Kim,Alexa Grasso,230,-315,Blue,230,31.74603175
143,Valentina Shevchenko,Katlyn Chookagian,-920,610,Red,Ricardo Lamas,Bill Algeo,-335,240,Red,29.85074627,240
144,Juan Adams,Justin Tafa,-240,200,Blue,Maki Pitolo,Impa Kasanganay,115,-139,Blue,115,71.94244604
145,Mirsad Bektic,Dan Ige,-125,105,Blue,Mallory Martin,Hannah Cifers,-315,239,Red,31.74603175,239
146,Derrick Lewis,Ilir Latifi,-225,185,Red,Alessio Di Chirico,Zak Cummings,-114,-109,Blue,87.71929825,91.74311927
147,Trevin Giles,James Krause,-170,130,Red,Alex Caceres,Austin Springer,-225,176,Red,44.44444444,176
148,Alex Morono,Kalinn Williams,-345,285,Blue,Polyana Viana,Emily Whitmire,110,-139,Red,110,71.94244604
149,Lauren Murphy,Andrea Lee,260,-320,Red,Sean Brady,Christian Aguilera,-455,330,Red,21.97802198,330
150,Miles Johns,Mario Bautista,-132,112,Blue,Pedro Munhoz,Frankie Edgar,-278,225,Blue,35.97122302,225
151,Domingo Pilarte,Journey Newson,-125,105,Blue,Marcin Prachnio,Mike Rodriguez,188,-240,Blue,188,41.66666667
152,Andre Ewell,Jonathan Martinez,-133,113,Red,Mariya Agapova,Shana Dobson,-1430,750,Blue,6.993006993,750
153,Austin Lingo,Youssef Zalel,-210,175,Blue,Daniel Rodriguez,Dwight Grant,-230,180,Red,43.47826087,180
154,Valentina Shevchenko,Liz Carmouche,-1100,700,Red,Amanda Lemos,Mizuki Inoue,110,-137,Red,110,72.99270073
155,Vincente Luque,Mike Perry,-250,210,Red,Austin Hubbard,Joe Solecki,-112,-112,Blue,89.28571429,89.28571429
156,Luiz Garagorri,Humberto Bandenay,-145,125,Red,Ike Villanueva,Jordan Wright,104,-129,Blue,104,77.51937984
157,Volkan Oezdemir,Ilir Latifi,-190,165,Red,Carlton Minus,Matthew Semelsberger,-118,-106,Blue,84.74576271,94.33962264
158,Rodolfo Vieira,Oskar Piechota,-225,185,Red,Timur Valiev,Trevin Jones,-560,387,Blue,17.85714286,387
159,Enrique Barzola,Bobby Moffett,-165,145,Red,Stipe Miocic,Daniel Cormier,-106,-112,Red,94.33962264,89.28571429
160,Gilbert Burns,Aleksei Kunchenko,120,-140,Red,Sean O'Malley,Marlon Vera,-305,240,Blue,32.78688525,240
161,Ciryl Gane,Raphael Pessoa Nunes,-470,375,Red,Junior Dos Santos,Jairzinho Rozenstruik,115,-143,Blue,115,69.93006993
162,Tecia Torres,Marina Rodriguez,-160,140,Blue,John Dodson,Merab Dvalishvili,188,-240,Blue,188,41.66666667
163,Rogerio Bontorin,Raulian Paiva,100,-120,Red,Jim Miller,Vinc Pichel,100,-124,Blue,100,80.64516129
164,Geraldo de Freitas,Chris Gutierrez,-175,155,Blue,Ashley Yoder,Livinha Souza,130,-162,Blue,130,61.72839506
165,Kazula Vargas,Alex Da Silva,240,-280,Blue,Felice Herrig,Virna Jandiroba,240,-315,Blue,240,31.74603175
166,Veronica Macedo,Polyana Viana,-130,110,Red,Herbert Burns,Daniel Pineda,-286,225,Blue,34.96503497,225
167,Daniel Cormier,Stipe Miocic,-145,125,Blue,TJ Brown,Danny Chavez,-167,130,Blue,59.88023952,130
168,Anthony Pettis,Nate Diaz,-120,100,Blue,Chris Daukaus,Parker Porter,-106,-118,Red,94.33962264,84.74576271
169,Yoel Romero,Paulo Costa,-165,145,Blue,Derrick Lewis,Aleksei Oleinik,-200,160,Red,50,160
170,Gabriel Benitez,Sodiq Yusuff,235,-275,Blue,Omari Akhmedov,Chris Weidman,115,-141,Blue,115,70.92198582
171,Derek Brunson,Ian Heinisch,140,-160,Red,Maki Pitolo,Darren Stewart,125,-155,Blue,125,64.51612903
172,Devonte Smith,Khama Worthy,-1000,650,Blue,Yana Kunitskaya,Julija Stoliarenko,-190,150,Red,52.63157895,150
173,Raphael Assuncao,Cory Sandhagen,220,-260,Blue,Beneil Dariush,Scott Holtzman,-200,160,Red,50,160
174,Christos Giagos,Drakkar Klose,165,-190,Blue,Tim Means,Laureano Staropoli,120,-150,Red,120,66.66666667
175,Manny Bermudez,Casey Kenney,-170,150,Blue,Kevin Holland,Joaquin Buckley,-455,333,Red,21.97802198,333
176,Hannah Cifers,Jodie Esquibel,-290,245,Red,Nasrat Haqparast,Alex Munoz,-240,188,Red,41.66666667,188
177,Kyung Ho Kang,Brandon Davis,-190,165,Red,Andrew Sanchez,Wellington Turman,130,-162,Red,130,61.72839506
178,Sabina Mazo,Shana Dobson,-145,125,Red,Gavin Tucker,Justin Jaynes,-139,112,Red,71.94244604,112
179,Jessica Andrade,Zhang Weili,-200,170,Blue,Youssef Zalal,Peter Barrett,-480,340,Red,20.83333333,340
