Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Anthony Smith,Devin Clark,-139,115,Red
Miguel Baeza,Takashi Sato,-175,140,Red
Josh Parisian,Parker Porter,-200,160,Blue
Spike Carlyle,Bill Algeo,-177,140,Blue
Ashlee Evans-Smith,Norma Dumont,-137,110,Blue
Jonathan Pearce,Kai Kamaka,245,-335,Red
Martin Day,Anderson Dos Santos,-167,135,Blue
Gina Mazany,Rachael Ostovich,-200,160,Red
Su Mudaerji,Malcolm Gordon,-335,250,Red
Luke Sanders,Nate Maness,-155,125,Blue
Deiveson Figueiredo,Alex Perez,-286,225,Red
Valentina Shevchenko,Jennifer Maia,-1667,850,Red
Mike Perry,Tim Means,-150,120,Blue
Katlyn Chookagian,Cynthia Calvillo,205,-265,Red
Mauricio Rua,Paul Craig,150,-190,Blue
Brandon Moreno,Brandon Royval,-190,150,Red
Joaquin Buckley,Jordan Wright,-265,205,Red
Antonina Shevchenko,Ariane Lipski,-167,130,Red
Daniel Rodriguez,Nicolas Dalby,-335,250,Blue
Alan Jouban,Jared Gooden,-150,120,Red
Kyle Daukaus,Dustin Stoltzfus,-315,230,Red
Louis Cosce,Sasha Palatnikov,-455,325,Blue
Paul Felder,Rafael Dos Anjos,165,-200,Blue
Abdul Razak Alhassan,Khaos Williams,-240,185,Blue
Kay Hansen,Cory McKenna,-230,180,Blue
Brendan Allen,Sean Strickland,-118,-106,Blue
Ashley Yoder,Miranda Granger,135,-167,Red
Alex Morono,Rhys McKee,-177,140,Red
Randa Markos,Kanako Murata,155,-200,Blue
Geraldo de Freitas,Tony Gravely,117,-148,Blue
Don'Tale Mayes,Roque Martinez,-265,205,Red
Thiago Santos,Glover Teixeira,-240,190,Blue
Andrei Arlovski,Tanner Boser,235,-305,Red
Raoni Barcelos,Khalid Taha,-400,295,Red
Claudia Gadelha,Yan Xiaonan,125,-155,Blue
Trevin Giles,Bevon Lewis,100,-125,Red
Giga Chikadze,Jamey Simmons,-835,525,Red
Alexandr Romanov,Marcos Rogerio de Lima,-455,330,Red
Darren Elkins,Eduardo Garagorri,-240,185,Red
Max Griffin,Ramiz Brahimaj,-143,115,Red
Gustavo Lopez,Anthony Birchak,-134,108,Red
Uriah Hall,Anderson Silva,-230,185,Red
Bryce Mitchell,Andre Fili,-150,120,Red
Maurice Greene,Greg Hardy,250,-335,Blue
Kevin Holland,Charlie Ontiveros,-770,500,Red
Bobby Green,Thiago Moises,-335,245,Blue
Chris Gruetzemacher,Alexander Hernandez,315,-435,Blue
Adrian Yanez,Victor Rodriguez,-500,356,Red
Sean Strickland,Jack Marshman,-375,277,Red
Cole Williams,Jason Witt,119,-148,Blue
Dustin Jacoby,Justin Ledet,-400,296,Red
Miles Johns,Kevin Natividad,-165,131,Red
Khabib Nurmagomedov,Justin Gaethje,-315,255,Red
Robert Whittaker,Jared Cannonier,-110,-110,Red
Alexander Volkov,Walt Harris,-190,150,Red
Jacob Malkoun,Phillip Hawes,195,-250,Blue
Lauren Murphy,Liliya Shakirova,-215,170,Red
Magomed Ankalaev,Ion Cutelaba,-335,250,Red
Stefan Struve,Tai Tuivasa,-112,-112,Blue
Nathaniel Wood,Casey Kenney,140,-177,Blue
Alex Oliveira,Shavkat Rakhmonov,-112,-112,Blue
Liana Jojua,Miranda Maverick,295,-400,Blue
Joel Alvarez,Alexander Yakovlev,-175,138,Red
Brian Ortega,Chan Sung Jung,160,-200,Red
Katlyn Chookagian,Jessica Andrade,130,-159,Blue
Jimmy Crute,Modestas Bukauskas,-335,250,Red
Claudio Silva,James Krause,120,-150,Blue
Thomas Almeida,Jonathan Martinez,-139,110,Blue
Mateusz Gamrot,Guram Kutateladze,-335,245,Blue
Gillian Robertson,Poliana Botelho,-215,169,Red
Junyong Park,John Phillips,-278,215,Red
Jamie Mullarkey,Fares Ziam,-137,110,Blue
Gadzhimurad Antigulov,Maxim Grishin,277,-375,Blue
Said Nurmagomedov,Mark Striegl,-435,317,Red
Marlon Moraes,Cory Sandhagen,115,-141,Blue
Edson Barboza,Makwan Amirkhani,-286,225,Red
Ben Rothwell,Marcin Tybura,-159,130,Blue
Markus Perez,Dricus Du Plessis,133,-167,Blue
Tom Aspinall,Alan Baudot,-560,400,Red
Youssef Zalal,Ilia Topuria,-162,130,Blue
Tom Breese,KB Bhullar,-275,210,Red
Chris Daukaus,Rodrigo Nascimento,205,-265,Red
Impa Kasanganay,Joaquin Buckley,-265,200,Blue
Ali AlQaisi,Tony Kelley,190,-245,Blue
Giga Chikadze,Omar Morales,136,-175,Red
Tracy Cortez,Stephanie Egger,-205,160,Red
Bruno Silva,Tagir Ulanbekov,321,-455,Blue
Holly Holm,Irene Aldana,-125,103,Red
Yorgan De Castro,Carlos Felipe,-265,205,Blue
Germaine de Randamie,Julianna Pena,-150,122,Red
Kyler Phillips,Cameron Else,-480,342,Red
Dequan Townsend,Dusko Todorovic,245,-335,Blue
Carlos Condit,Court McGee,111,-137,Red
Jordan Williams,Nassourdine Imavov,-125,105,Blue
Loma Lookboonmee,Jinh Yu Frey,-150,120,Red
Casey Kenney,Heili Alateng,-335,246,Red
Luigi Vendramini,Jessin Ayari,-109,-114,Red
Israel Adesanya,Paulo Costa,-186,151,Red
Dominick Reyes,Jan Blachowicz,-265,215,Blue
Kai Kara-France,Brandon Royval,-240,188,Blue
Ketlen Vieira,Sijara Eubanks,-190,150,Red
Hakeem Dawodu,Zubaira Tukhugov,115,-143,Red
Brad Riddell,Alex Da Silva,-335,253,Red
Diego Sanchez,Jake Matthews,470,-715,Blue
Shane Young,Ludovit Klein,108,-129,Blue
William Knight,Aleksa Camur,134,-167,Red
Juan Espino,Jeff Hughes,-305,233,Red
Khadis Ibragimov,Danilo Marques,-182,150,Blue
Colby Covington,Tyron Woodley,-335,260,Red
Khamzat Chimaev,Gerald Meerschaert,-400,300,Red
Johnny Walker,Ryan Spann,-125,100,Red
Mackenzie Dern,Randa Markos,-177,140,Red
Kevin Holland,Darren Stewart,-265,205,Red
Jordan Espinosa,David Dvorak,-112,-112,Blue
Mirsad Bektic,Damon Jackson,-375,277,Blue
Mayra Bueno Silva,Mara Romero Borella,-275,210,Red
Jessica-Rose Clark,Sarah Alpar,-230,180,Red
Darrick Minner,TJ Laramie,245,-335,Red
Journey Newson,Randy Costa,-137,110,Blue
Andre Ewell,Irwin Rivera,-240,187,Red
Tyson Nam,Jerome Rivera,-190,150,Red
Michelle Waterson,Angela Hill,105,-125,Red
Ottman Azaitar,Khama Worthy,110,-137,Red
Roxanne Modafferi,Andrea Lee,240,-335,Red
Ed Herman,Mike Rodriguez,195,-250,Red
Billy Quarantillo,Kyle Nelson,-250,195,Red
Julia Avila,Sijara Eubanks,-305,230,Blue
Roosevelt Roberts,Kevin Croom,-385,286,Blue
Alexandr Romanov,Roque Martinez,-360,275,Red
Bobby Green,Alan Patrick,-295,227,Red
Brok Weaver,Jalin Turner,306,-420,Blue
Bryan Barberena,Anthony Ivy,-278,215,Red
Sabina Mazo,Justine Kish,-265,200,Red
Alistair Overeem,Augusto Sakai,-159,130,Red
Ovince Saint Preux,Alonzo Menifield,110,-134,Red
Michel Pereira,Zelim Imadaev,-112,-112,Red
Brian Kelleher,Ray Rodriguez,-380,315,Red
Andre Muniz,Bartosz Fabinski,132,-165,Red
Viviane Araujo,Montana De La Rosa,-182,145,Red
Cole Smith,Hunter Azure,185,-235,Blue
Anthony Smith,Aleksandar Rakic,225,-278,Blue
Robbie Lawler,Neil Magny,200,-250,Blue
Ji Yeon Kim,Alexa Grasso,230,-315,Blue
Ricardo Lamas,Bill Algeo,-335,240,Red
Maki Pitolo,Impa Kasanganay,115,-139,Blue
Mallory Martin,Hannah Cifers,-315,239,Red
Alessio Di Chirico,Zak Cummings,-114,-109,Blue
Alex Caceres,Austin Springer,-225,176,Red
Polyana Viana,Emily Whitmire,110,-139,Red
Sean Brady,Christian Aguilera,-455,330,Red
Pedro Munhoz,Frankie Edgar,-278,225,Blue
Marcin Prachnio,Mike Rodriguez,188,-240,Blue
Mariya Agapova,Shana Dobson,-1430,750,Blue
Daniel Rodriguez,Dwight Grant,-230,180,Red
Amanda Lemos,Mizuki Inoue,110,-137,Red
Austin Hubbard,Joe Solecki,-112,-112,Blue
Ike Villanueva,Jordan Wright,104,-129,Blue
Carlton Minus,Matthew Semelsberger,-118,-106,Blue
Timur Valiev,Trevin Jones,-560,387,Blue
Stipe Miocic,Daniel Cormier,-106,-112,Red
Sean O'Malley,Marlon Vera,-305,240,Blue
Junior Dos Santos,Jairzinho Rozenstruik,115,-143,Blue
John Dodson,Merab Dvalishvili,188,-240,Blue
Jim Miller,Vinc Pichel,100,-124,Blue
Ashley Yoder,Livinha Souza,130,-162,Blue
Felice Herrig,Virna Jandiroba,240,-315,Blue
Herbert Burns,Daniel Pineda,-286,225,Blue
TJ Brown,Danny Chavez,-167,130,Blue
Chris Daukaus,Parker Porter,-106,-118,Red
Derrick Lewis,Aleksei Oleinik,-200,160,Red
Omari Akhmedov,Chris Weidman,115,-141,Blue
Maki Pitolo,Darren Stewart,125,-155,Blue
Yana Kunitskaya,Julija Stoliarenko,-190,150,Red
Beneil Dariush,Scott Holtzman,-200,160,Red
Tim Means,Laureano Staropoli,120,-150,Red
Kevin Holland,Joaquin Buckley,-455,333,Red
Nasrat Haqparast,Alex Munoz,-240,188,Red
Andrew Sanchez,Wellington Turman,130,-162,Red
Gavin Tucker,Justin Jaynes,-139,112,Red
Youssef Zalal,Peter Barrett,-480,340,Red
Irwin Rivera,Ali Qaisi,-186,148,Red
Derek Brunson,Edmen Shahbazyan,275,-360,Red
Joanne Calderwood,Jennifer Maia,-162,130,Blue
Vicente Luque,Randy Brown,-200,160,Red
Lando Vannata,Bobby Green,-162,130,Blue
Frankie Saenz,Jonathan Martinez,200,-250,Blue
Johnny Munoz,Nate Maness,110,-137,Blue
Jamall Emmers,Vince Cachero,-360,265,Red
Robert Whittaker,Darren Till,-130,107,Red
Mauricio Rua,Rogerio Nogueira,-190,150,Red
Fabricio Werdum,Alexander Gustafsson,260,-335,Red
Carla Esparza,Marina Rodriguez,145,-182,Red
Paul Craig,Gadzhimurad Antigulov,-137,110,Red
Alex Oliveira,Peter Sobotta,-182,145,Red
Khamzat Chimaev,Rhys McKee,-1250,700,Red
Francisco Trinaldo,Jai Herbert,-134,108,Red
Nicolas Dalby,Jesse Ronson,-265,205,Blue
Tom Aspinall,Jake Collier,-278,220,Red
Movsar Evloev,Mike Grundy,-200,161,Red
Tanner Boser,Raphael Pessoa,-278,220,Red
Bethe Correia,Pannie Kianzad,131,-162,Blue
Ramazan Emeev,Niklas Stolze,-400,300,Red
Nathaniel Wood,John Castaneda,-455,320,Red
Deiveson Figueiredo,Joseph Benavidez,-225,180,Red
Jack Hermansson,Kelvin Gastelum,-112,-112,Red
Marc Diakiese,Rafael Fiziev,-167,135,Blue
Ariane Lipski,Luana Carolina,-125,100,Red
Alexandre Pantoja,Askar Askarov,-210,165,Blue
Roman Dolidze,Khadis Ibragimov,-167,135,Red
Grant Dawson,Nad Narimani,-250,195,Red
Joe Duffy,Joel Alvarez,-335,250,Blue
Brett Johns,Montel Jackson,170,-215,Red
Malcolm Gordon,Amir Albazi,135,-167,Blue
Davi Ramos,Arman Tsarukyan,160,-200,Blue
Carlos Felipe,Serghei Spivac,140,-177,Blue
Calvin Kattar,Dan Ige,-286,220,Red
Tim Elliott,Ryan Benoit,-141,112,Red
Jimmie Rivera,Cody Stamann,-141,112,Red
Molly McCann,Taila Santos,-152,120,Blue
Abdul Razak Alhassan,Mounir Lazzez,-345,260,Blue
John Phillips,Khamzat Chimaev,271,-375,Blue
Ricardo Ramos,Lerone Murphy,-162,130,Blue
Modestas Bukauskas,Andreas Michailidis,-177,140,Red
Jared Gordon,Chris Fishgold,-143,115,Red
Diana Belbita,Liana Jojua,-195,155,Blue
Jack Shore,Aaron Phillips,-715,475,Red
Kamaru Usman,Jorge Masvidal,-240,190,Red
Alexander Volkanovski,Max Holloway,-210,170,Red
Petr Yan,Jose Aldo,-215,175,Red
Jessica Andrade,Rose Namajunas,175,-215,Blue
Amanda Ribas,Paige VanZant,-770,500,Red
Volkan Oezdemir,Jiri Prochazka,-159,129,Blue
Elizeu Zaleski dos Santos,Muslim Salikhov,108,-134,Blue
Makwan Amirkhani,Danny Henry,-215,170,Red
Leonardo Santos,Roman Bogatov,-177,145,Red
Marcin Tybura,Maxim Grishin,-112,-112,Red
Raulian Paiva,Zhalgas Zhamagulov,-180,142,Red
Karol Rosa,Vanessa Melo,-250,195,Red
Martin Day,Davey Grant,-162,130,Blue
Dustin Poirier,Dan Hooker,-225,180,Red
Mike Perry,Mickey Gall,-315,235,Red
