Track,Horse,BetType,Odds,Winner
Ascot,Fredricka,Win,8,Lose
Thirsk,Spend A Penny,Win,4.5,Lose
York,Straightothepoint,Win,7,Lose
Newmarket,Miss Inga Sock,Win,5,Lose
Ascot,Peril,Win,4.33,Win
York,Aldreth,Win,6,Lose
Newcastle,Niceonemyson,Win,6,Lose
Lingfield,Brandon Castle,Win,6,Lose
Carlisle,Sands Time,Win,5.5,Lose
Pontefract,Ad Dabaran,Win,2,Lose
Uttoxeter,Milgen Bay,Each Way,10,Lose
Thirsk,Gleese The Devil,Win,8,Lose
Hamilton,Especial,Win,6,Lose
Chepstow,Indian Affair,Win,6,Lose
Salisbury,Wild Desert,Win,3.25,Win
Catterick,Lets Twist,Win,2.75,Lose
Chelmsford,Berti Blue Boy,Win,3.5,Lose
Brighton,Shes Invincible,Win,3.25,Lose
Newcastle,Pacngo,Win,3.25,Lose
Wolverhampton,Honiton Lace,Each Way,11,Lose
Newmarket,Cultrail,Win,1.8,Lose
Newbury,Withernsea,Win,4,Lose
Newbury,Cable Bay,Each Way,7.5,Lose
Newbury,Albert Bridge,Win,4.5,Win
Market Rasen,Towering,Win,3.25,Lose
Tramore,Patsio,Each Way,8,Lose
Tramore,Illtakeitfromhere,Win,2.5,Lose
Leicester,El Astrounote,Win,11,Win
Chelmsford,Golden Ambers,Each Way,11,Win
Chelmsford,Trimoulet,Win,3.25,Lose
York,Bondi Beach,Win,5,Lose
Ffos Las,Sir Billy Wright,Win,4.33,Win
York,Quick N Quirky,Each Way,21.1,Lose
Worcester,At First Light,Each Way,9,Win
York,Mussadas,Each Way,8,Lose
York,Covert Love,Win,4,Lose
York,Koora,Each Way,11,Win
York,Mistrusting,Win,4.5,Win
Sandown,Royal Toast,Each Way,9,Win
York,Top Notch Tonto,Each Way,8,Lose
York,Al,Each Way,9,Lose
York,Quick Jack,Each Way,8,Lose
York,Ornate,Win,2.25,Lose
York,Imtiyaaz,Each Way,6,Win
Deauville,Ribbons,Win,4,Lose
Curragh,Macnicholson,Each Way,11,Lose
Brighton,Rockie Road,Win,3.25,Win
Leicester,Steventon Star,Win,3.5,Lose
Stratford,The Kvilleken,Win,3,Lose
Wolverhampton,Reginauld Claude,Each Way,7,Lose
Wolverhampton,Aqua Libre,Each Way,9,Win
Newmarket,Mister Brightside,Win,4,Win
Goodwood,Brittleton,Win,3,Win
Goodwood,Volunteer Point,Win,5,Lose
Newcastle,Punk Rocker,Win,3.75,Lose
Curragh,Three Colours Red,Each Way,7,Lose
Beverley,Rosina,Win,3.75,Win
Goodwood,Bobby Wheeler,Win,2.5,Lose
Goodwood,Gale Force,Win,2.1,Win
Hamilton,Candelisa,Each Way,6,Lose
Doncaster,Royal Signaler,Each Way,20,Lose
Chester,Fours Company,Win,5.5,Lose
Doncaster,Shore Step,Win,5.5,Lose
Doncaster,Tashweeq,Win,3.25,Win
Salisbury,Potternello,Win,4,Lose
Doncaster,Breton Rock,Each Way,15.1,Win
Leopardstown,Gielded Reflection,Each Way,15,Lose
Bath,Goathland,Win,3.25,Win
Leicester,Man Of Harleich,Each Way,8,Win
Leopardstown,Found,Each Way,10,Win
Wolverhampton,Symposium,Win,2.5,Win
Wolverhampton,Waabel,Each Way,13,Lose
Wolverhampton,Full Of Speed,Win,3.5,Lose
Catterick,Geno,Win,2,Lose
Catterick,Zain Emperor,Win,2.1,Lose
Chepstow,Willsy,Each Way,13,Win
Yarmouth,Star Storm,Win,3.5,Win
Beverley,Gold Trade,Win,4,Lose
Beverley,Poets Prize,Win,3.25,Win
Pontefract,Cornborough,Each Way,9,Lose
Ayr,Royal Duchess,Each Way,7,Lose
Ayr,El Beau,Each Way,10,Win
Newbury,Satellite,Win,2.75,Lose
Newbury,Stormy Antarctic,Win,6,Win
Newbury,Kastini,Win,3.75,Win
Ayr,Priceless,Win,3.75,Lose
Ayr,George Bowen,Each Way,8,Win
Newbury,Cymro,Each Way,10,Win
Newmarket,Distain,Win,4,Lose
Ayr,Intense Tango,Win,6,Lose
Goodwood,Silver Quay,Win,5.5,Lose
Goodwood,Scrutinise,Win,3.25,Win
Kempton,Royal Toast,Win,6.5,Lose
Newmarket,Zonderland,Win,6,Lose
Newmarket,Gale Force,Each Way,11,Win
Pontefract,El Beau,Win,3.5,Lose
Newmarket,Peterhof,Win,5,Lose
Newmarket,Light And Shade,Each Way,13,Lose
Haydock,Gracious John,Win,3.5,Win
Newmarket,Wadi Al Hattaw,Win,3.25,Lose
Wolverhampton,My Mo,Win,3.5,Win
Newmarket,Musaddas,Each Way,21,Lose
Haydock,Doc Charm,Each Way,8,Lose
Chelmsford,Western Reserve,Each Way,7,Win
Ascot,The Cashel Man,Win,2.5,Lose
Ascot,Star Storm,Win,5.5,Win
Newmarket,Gifted Master,Win,5.5,Win
Ascot,Buckstay,Each Way,7.5,Win
Wolverhampton,Cooperess,Win,4,Lose
Pontefract,Iconic,Each Way,8,Lose
Market Rasen,Ready Token,Win,3.25,Win
